exam_year,season,question_no,answer,main_category,sub_category,keyword,question_theme,trap_point,learning_type,priority,pm_relevance,source_file
2009,spring,1,イ,ネットワーク,DNS,DNS,DNSキャッシュポイズニングに分類される攻撃内容はどれか。,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,spring,2,ア,PKI・証明書・TLS・HTTPS,SSL,SSL,"SSLを使用して通信を暗号化する場合,SSL-VPN装置に必要な条件はどれか。",CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2009,spring,3,エ,認証・認可・SAML・OAuth,シングルサインオン,シングルサインオン,"シングルサインオンの説明のうち,適切なものはどれか。",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2009,spring,4,イ,メールセキュリティ,OP25B,OP25B,"スパムメールの対策として,あて先ポート番号25番のメールに対しISPが実施するOP25Bの説明は",SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2009,spring,5,ウ,暗号・ハッシュ・電子署名,デジタル署名,デジタル署名,デジタル署名を利用する目的はどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2009,spring,6,ア,暗号・ハッシュ・電子署名,SHA,SHA,SHA-1を説明したものはどれか。,ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2009,spring,7,ア,ISMS・リスク管理・監査・法制度,リスク,リスク,"リスク対策をリスクコントロールとリスクファイナンスに分けた場合,リスクファイナンスに該当するもの",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2009,spring,8,ウ,ISMS・リスク管理・監査・法制度,リスク分析,リスク分析,"情報システムのリスク分析に関する記述のうち,適切なものはどれか。",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2009,spring,9,ア,ネットワーク,ファイアウォール,ファイアウォール,"DMZ上の公開Webサーバで入力データを受け付け,内部ネットワークのDBサーバにそのデータを蓄積",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,spring,10,ア,暗号・ハッシュ・電子署名,暗号,暗号,"通信の暗号化に関する記述のうち,適切なものはどれか。",ハッシュ/MAC/デジタル署名の役割混同。共通鍵か公開鍵かの取り違え,both,A,middle,sc_kakomon.json
2009,spring,11,イ,メールセキュリティ,メール,メール,メールサーバ(SMTPサーバ)の不正利用を防止するために行う設定はどれか。,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2009,spring,12,エ,マルウェア・ランサムウェア・標的型攻撃,ルートキット,ルートキット,ルートキット(rootkit)を説明したものはどれか。,ワーム/ボット/ルートキット等の型の定義混同。証拠保全は揮発性の高い順,memory,B,high,sc_kakomon.json
2009,spring,13,ウ,ネットワーク,TCP,TCP,"TCP/IPネットワークにおけるICMPの説明として,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,spring,14,イ,ネットワーク,TCP,TCP,"TCP/IPのネットワークにおいて,TCPのコネクションを識別するために必要なものの組合せはどれ",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,spring,15,イ,ネットワーク,TCP,TCP,"TCPヘッダー中のウィンドウサイズの説明として,適切なものはどれか。",TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,spring,16,エ,データベース,DBMS,DBMS,"RDBMSの表へのアクセスにおいて,特定の利用者だけにアクセス権を与える方法として,適切なものは",NULLの比較結果、WITH GRANT OPTIONの効果,mechanism,C,low,sc_kakomon.json
2009,spring,17,ア,データベース,DBMS,DBMS,"DBMSの排他制御機能に関する記述のうち,適切なものはどれか。",NULLの比較結果、WITH GRANT OPTIONの効果,mechanism,C,low,sc_kakomon.json
2009,spring,18,ウ,開発技術・サービスマネジメント,テスト,テスト,"システム開発で行われる各テストについて,そのテスト要求事項が定義されているアクティビティとテスト",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,spring,19,エ,開発技術・サービスマネジメント,保守,保守,"ハードウェアの保守点検及び修理作業を実施するときに,運用管理者が実施すべき,事前又は事後に確認に",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,spring,20,ウ,開発技術・サービスマネジメント,プロセスモデル,プロセスモデル,"ソフトウェア開発のプロセスモデルのうち,開発サイクルを繰り返すことによって,システムの完成度を高",テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,spring,21,ア,開発技術・サービスマネジメント,リバースエンジニアリング,リバースエンジニアリング,ソフトウェアを保守するときなどに利用される技術であるリバースエンジニアリングの説明はどれか。,テスト/レビュー手法の名称混同。可用性計算のサービス時間帯条件の見落とし,memory,C,low,sc_kakomon.json
2009,spring,22,エ,ISMS・リスク管理・監査・法制度,インシデント,インシデント,"ITILにおけるインシデント管理プロセスの役割として,適切なものはどれか。",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2009,spring,23,イ,データベース,データベース,データベース,データベースサーバのハードディスクに障害が発生した場合でもサービスを続行できるようにするための方,NULLの比較結果、WITH GRANT OPTIONの効果,mechanism,C,low,sc_kakomon.json
2009,spring,24,ウ,その他SC午前Ⅱ固有テーマ,一般,,"アクセス権限を管理しているシステムの利用者IDリストから,退職による権限喪失者が削除されているこ",,memory,C,low,sc_kakomon.json
2009,spring,25,エ,ISMS・リスク管理・監査・法制度,監査,監査,"外部保管のために専門業者にバックアップ媒体を引き渡す際の安全性について,セキュリティ監査を実施し",リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2009,autumn,1,エ,認証・認可・SAML・OAuth,チャレンジレスポンス,チャレンジレスポンス,"チャレンジレスポンス方式として,適切なものはどれか。",認証と認可の混同。SAML(認証連携)とOAuth(認可)の用途混同,both,A,high,sc_kakomon.json
2009,autumn,2,エ,PKI・証明書・TLS・HTTPS,証明書,証明書,"ブラウザがWebサーバとの間でSSLで通信する際,デジタル証明書に関する警告メッセージが表示され",CRL(失効リスト)とOCSP(リアルタイム照会)の混同。失効と有効期限切れの混同,both,A,high,sc_kakomon.json
2009,autumn,3,イ,メールセキュリティ,SMTP-AUTH,SMTP-AUTH,SMTP-AUTH認証はどれか。,SPF(送信元IP)とDKIM(署名)の検証対象の混同。DMARCは失敗時ポリシー,memory,A,high,sc_kakomon.json
2009,autumn,4,ア,ISMS・リスク管理・監査・法制度,コンティンジェンシ,コンティンジェンシ,コンティンジェンシープランにおける留意点はどれか。,リスク対応4分類の区別。全般統制と業務処理統制の区別,memory,B,middle,sc_kakomon.json
2009,autumn,5,ウ,ネットワーク,DNS,DNS,企業のDMZ上で1台のDNSサーバをインターネット公開用と社内用で共用している。このDNSサーバ,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,6,ア,ネットワーク,IDS,IDS,NIDS(ネットワーク型IDS)を導入する目的はどれか。,TCPヘッダーとIPヘッダーの情報の混同。サブネット計算ミス,mechanism,B,high,sc_kakomon.json
2009,autumn,7,イ,Web脆弱性,クロスサイト,クロスサイト,クロスサイトスクリプティングによる攻撃へのセキュリティ対策に該当するものはどれか。,XSS対策(エスケープ)とCSRF対策(トークン)の取り違え,mechanism,A,high,sc_kakomon.json
